Cifras absolutas y relativas;Sexo;Edad;Tipo de bebidas consumidas;Frecuencia de consumo;Total
CIFRAS ABSOLUTAS;Varones;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;30,7
CIFRAS ABSOLUTAS;Varones;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;125,2
CIFRAS ABSOLUTAS;Varones;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;369,0
CIFRAS ABSOLUTAS;Mujeres;Total;Copas de vino, champagne o cava;Total;7.299,7
CIFRAS ABSOLUTAS;Mujeres;Total;Copas de vino, champagne o cava;Cuatro o más días a la semana;1.340,1
CIFRAS ABSOLUTAS;Mujeres;Total;Copas de vino, champagne o cava;De 1 a 3 días a la semana;1.472,2
CIFRAS ABSOLUTAS;Mujeres;Total;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;642,9
CIFRAS ABSOLUTAS;Mujeres;Total;Copas de vino, champagne o cava;Menos de 1 día al mes;2.134,4
CIFRAS ABSOLUTAS;Mujeres;Total;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;1.710,1
CIFRAS ABSOLUTAS;Mujeres;Total;Cañas de cerveza ( con alcohol), sidra;Total;7.299,7
CIFRAS ABSOLUTAS;Mujeres;Total;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;553,8
CIFRAS ABSOLUTAS;Mujeres;Total;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;2.035,1
CIFRAS ABSOLUTAS;Mujeres;Total;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;612,8
CIFRAS ABSOLUTAS;Mujeres;Total;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;1.656,5
CIFRAS ABSOLUTAS;Mujeres;Total;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;2.441,5
CIFRAS ABSOLUTAS;Mujeres;De 16 a 24 años;Copas de vino, champagne o cava;Total;788,8
CIFRAS ABSOLUTAS;Mujeres;De 16 a 24 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;5,0
CIFRAS ABSOLUTAS;Mujeres;De 16 a 24 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;123,1
CIFRAS ABSOLUTAS;Mujeres;De 16 a 24 años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;58,7
CIFRAS ABSOLUTAS;Mujeres;De 16 a 24 años;Copas de vino, champagne o cava;Menos de 1 día al mes;288,9
CIFRAS ABSOLUTAS;Mujeres;De 16 a 24 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;313,1
CIFRAS ABSOLUTAS;Mujeres;De 16 a 24 años;Cañas de cerveza ( con alcohol), sidra;Total;788,8
CIFRAS ABSOLUTAS;Mujeres;De 16 a 24 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;23,1
CIFRAS ABSOLUTAS;Mujeres;De 16 a 24 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;327,7
CIFRAS ABSOLUTAS;Mujeres;De 16 a 24 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;96,6
CIFRAS ABSOLUTAS;Mujeres;De 16 a 24 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;182,8
CIFRAS ABSOLUTAS;Mujeres;De 16 a 24 años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;158,6
CIFRAS ABSOLUTAS;Mujeres;De 25 a 34 años;Copas de vino, champagne o cava;Total;1.604,7
CIFRAS ABSOLUTAS;Mujeres;De 25 a 34 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;83,7
CIFRAS ABSOLUTAS;Mujeres;De 25 a 34 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;340,4
CIFRAS ABSOLUTAS;Mujeres;De 25 a 34 años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;167,4
CIFRAS ABSOLUTAS;Mujeres;De 25 a 34 años;Copas de vino, champagne o cava;Menos de 1 día al mes;470,1
CIFRAS ABSOLUTAS;Mujeres;De 25 a 34 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;543,0
CIFRAS ABSOLUTAS;Mujeres;De 25 a 34 años;Cañas de cerveza ( con alcohol), sidra;Total;1.604,7
CIFRAS ABSOLUTAS;Mujeres;De 25 a 34 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;96,6
CIFRAS ABSOLUTAS;Mujeres;De 25 a 34 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;574,5
CIFRAS ABSOLUTAS;Mujeres;De 25 a 34 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;171,2
CIFRAS ABSOLUTAS;Mujeres;De 25 a 34 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;385,5
CIFRAS ABSOLUTAS;Mujeres;De 25 a 34 años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;377,1
CIFRAS ABSOLUTAS;Mujeres;De 35 a 44 años;Copas de vino, champagne o cava;Total;1.614,9
CIFRAS ABSOLUTAS;Mujeres;De 35 a 44 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;220,1
CIFRAS ABSOLUTAS;Mujeres;De 35 a 44 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;396,3
CIFRAS ABSOLUTAS;Mujeres;De 35 a 44 años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;182,1
CIFRAS ABSOLUTAS;Mujeres;De 35 a 44 años;Copas de vino, champagne o cava;Menos de 1 día al mes;469,8
CIFRAS ABSOLUTAS;Mujeres;De 35 a 44 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;346,6
CIFRAS ABSOLUTAS;Mujeres;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;Total;1.614,9
CIFRAS ABSOLUTAS;Mujeres;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;171,2
CIFRAS ABSOLUTAS;Mujeres;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;539,6
CIFRAS ABSOLUTAS;Mujeres;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;130,3
CIFRAS ABSOLUTAS;Mujeres;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;339,7
CIFRAS ABSOLUTAS;Mujeres;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;434,0
CIFRAS ABSOLUTAS;Mujeres;De 45 a 54 años;Copas de vino, champagne o cava;Total;1.326,6
CIFRAS ABSOLUTAS;Mujeres;De 45 a 54 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;314,9
CIFRAS ABSOLUTAS;Mujeres;De 45 a 54 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;299,9
CIFRAS ABSOLUTAS;Mujeres;De 45 a 54 años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;106,4
CIFRAS ABSOLUTAS;Mujeres;De 45 a 54 años;Copas de vino, champagne o cava;Menos de 1 día al mes;327,7
CIFRAS ABSOLUTAS;Mujeres;De 45 a 54 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;277,7
CIFRAS ABSOLUTAS;Mujeres;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;Total;1.326,6
CIFRAS ABSOLUTAS;Mujeres;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;162,2
CIFRAS ABSOLUTAS;Mujeres;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;338,3
CIFRAS ABSOLUTAS;Mujeres;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;94,2
CIFRAS ABSOLUTAS;Mujeres;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;294,5
CIFRAS ABSOLUTAS;Mujeres;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;437,4
CIFRAS ABSOLUTAS;Mujeres;De 55 a 64 años;Copas de vino, champagne o cava;Total;903,0
CIFRAS ABSOLUTAS;Mujeres;De 55 a 64 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;258,1
CIFRAS ABSOLUTAS;Mujeres;De 55 a 64 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;187,8
CIFRAS ABSOLUTAS;Mujeres;De 55 a 64 años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;59,6
CIFRAS ABSOLUTAS;Mujeres;De 55 a 64 años;Copas de vino, champagne o cava;Menos de 1 día al mes;277,0
CIFRAS ABSOLUTAS;Mujeres;De 55 a 64 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;120,4
CIFRAS ABSOLUTAS;Mujeres;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;Total;903,0
CIFRAS ABSOLUTAS;Mujeres;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;45,7
CIFRAS ABSOLUTAS;Mujeres;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;165,0
CIFRAS ABSOLUTAS;Mujeres;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;73,1
CIFRAS ABSOLUTAS;Mujeres;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;213,4
CIFRAS ABSOLUTAS;Mujeres;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;405,9
CIFRAS ABSOLUTAS;Mujeres;De 65 a 74 años;Copas de vino, champagne o cava;Total;686,8
CIFRAS ABSOLUTAS;Mujeres;De 65 a 74 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;284,6
CIFRAS ABSOLUTAS;Mujeres;De 65 a 74 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;77,7
CIFRAS ABSOLUTAS;Mujeres;De 65 a 74 años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;49,5
CIFRAS ABSOLUTAS;Mujeres;De 65 a 74 años;Copas de vino, champagne o cava;Menos de 1 día al mes;193,3
CIFRAS ABSOLUTAS;Mujeres;De 65 a 74 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;81,7
CIFRAS ABSOLUTAS;Mujeres;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;Total;686,8
CIFRAS ABSOLUTAS;Mujeres;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;36,3
CIFRAS ABSOLUTAS;Mujeres;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;69,0
CIFRAS ABSOLUTAS;Mujeres;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;25,3
CIFRAS ABSOLUTAS;Mujeres;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;166,0
CIFRAS ABSOLUTAS;Mujeres;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;390,3
CIFRAS ABSOLUTAS;Mujeres;De 75 y más años;Copas de vino, champagne o cava;Total;374,8
CIFRAS ABSOLUTAS;Mujeres;De 75 y más años;Copas de vino, champagne o cava;Cuatro o más días a la semana;173,6
CIFRAS ABSOLUTAS;Mujeres;De 75 y más años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;47,0
CIFRAS ABSOLUTAS;Mujeres;De 75 y más años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;19,2
CIFRAS ABSOLUTAS;Mujeres;De 75 y más años;Copas de vino, champagne o cava;Menos de 1 día al mes;107,6
CIFRAS ABSOLUTAS;Mujeres;De 75 y más años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;27,4
CIFRAS ABSOLUTAS;Mujeres;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;Total;374,8
CIFRAS ABSOLUTAS;Mujeres;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;18,8
CIFRAS ABSOLUTAS;Mujeres;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;20,9
CIFRAS ABSOLUTAS;Mujeres;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;22,2
CIFRAS ABSOLUTAS;Mujeres;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;74,7
CIFRAS ABSOLUTAS;Mujeres;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;238,2
CIFRAS RELATIVAS;Ambos sexos;Total;Copas de vino, champagne o cava;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;Total;Copas de vino, champagne o cava;Cuatro o más días a la semana;27,93
CIFRAS RELATIVAS;Ambos sexos;Total;Copas de vino, champagne o cava;De 1 a 3 días a la semana;18,26
CIFRAS RELATIVAS;Ambos sexos;Total;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;6,78
CIFRAS RELATIVAS;Ambos sexos;Total;Copas de vino, champagne o cava;Menos de 1 día al mes;22,52
CIFRAS RELATIVAS;Ambos sexos;Total;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;24,51
CIFRAS RELATIVAS;Ambos sexos;Total;Cañas de cerveza ( con alcohol), sidra;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;Total;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;16,26
CIFRAS RELATIVAS;Ambos sexos;Total;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;30,97
CIFRAS RELATIVAS;Ambos sexos;Total;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;7,47
CIFRAS RELATIVAS;Ambos sexos;Total;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;17,71
CIFRAS RELATIVAS;Ambos sexos;Total;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;27,59
CIFRAS RELATIVAS;Ambos sexos;De 16 a 24 años;Copas de vino, champagne o cava;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 16 a 24 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;2,12
CIFRAS RELATIVAS;Ambos sexos;De 16 a 24 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;15,04
CIFRAS RELATIVAS;Ambos sexos;De 16 a 24 años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;6,28
CIFRAS RELATIVAS;Ambos sexos;De 16 a 24 años;Copas de vino, champagne o cava;Menos de 1 día al mes;34,69
CIFRAS RELATIVAS;Ambos sexos;De 16 a 24 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;41,87
CIFRAS RELATIVAS;Ambos sexos;De 16 a 24 años;Cañas de cerveza ( con alcohol), sidra;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 16 a 24 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;8,56
CIFRAS RELATIVAS;Ambos sexos;De 16 a 24 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;46,88
CIFRAS RELATIVAS;Ambos sexos;De 16 a 24 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;10,18
CIFRAS RELATIVAS;Ambos sexos;De 16 a 24 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;21,27
CIFRAS RELATIVAS;Ambos sexos;De 16 a 24 años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;13,11
CIFRAS RELATIVAS;Ambos sexos;De 25 a 34 años;Copas de vino, champagne o cava;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 25 a 34 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;9,44
CIFRAS RELATIVAS;Ambos sexos;De 25 a 34 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;18,68
CIFRAS RELATIVAS;Ambos sexos;De 25 a 34 años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;8,14
CIFRAS RELATIVAS;Ambos sexos;De 25 a 34 años;Copas de vino, champagne o cava;Menos de 1 día al mes;26,88
CIFRAS RELATIVAS;Ambos sexos;De 25 a 34 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;36,86
CIFRAS RELATIVAS;Ambos sexos;De 25 a 34 años;Cañas de cerveza ( con alcohol), sidra;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 25 a 34 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;14,11
CIFRAS RELATIVAS;Ambos sexos;De 25 a 34 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;40,88
CIFRAS RELATIVAS;Ambos sexos;De 25 a 34 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;10,14
CIFRAS RELATIVAS;Ambos sexos;De 25 a 34 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;17,91
CIFRAS RELATIVAS;Ambos sexos;De 25 a 34 años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;16,96
CIFRAS RELATIVAS;Ambos sexos;De 35 a 44 años;Copas de vino, champagne o cava;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 35 a 44 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;21,29
CIFRAS RELATIVAS;Ambos sexos;De 35 a 44 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;22,76
CIFRAS RELATIVAS;Ambos sexos;De 35 a 44 años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;8,21
CIFRAS RELATIVAS;Ambos sexos;De 35 a 44 años;Copas de vino, champagne o cava;Menos de 1 día al mes;22,01
CIFRAS RELATIVAS;Ambos sexos;De 35 a 44 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;25,72
CIFRAS RELATIVAS;Ambos sexos;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;22,17
CIFRAS RELATIVAS;Ambos sexos;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;35,28
CIFRAS RELATIVAS;Ambos sexos;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;7,27
CIFRAS RELATIVAS;Ambos sexos;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;15,61
CIFRAS RELATIVAS;Ambos sexos;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;19,67
CIFRAS RELATIVAS;Ambos sexos;De 45 a 54 años;Copas de vino, champagne o cava;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 45 a 54 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;35,00
CIFRAS RELATIVAS;Ambos sexos;De 45 a 54 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;19,04
CIFRAS RELATIVAS;Ambos sexos;De 45 a 54 años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;6,99
CIFRAS RELATIVAS;Ambos sexos;De 45 a 54 años;Copas de vino, champagne o cava;Menos de 1 día al mes;17,69
CIFRAS RELATIVAS;Ambos sexos;De 45 a 54 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;21,28
CIFRAS RELATIVAS;Ambos sexos;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;21,63
CIFRAS RELATIVAS;Ambos sexos;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;27,43
CIFRAS RELATIVAS;Ambos sexos;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;6,31
CIFRAS RELATIVAS;Ambos sexos;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;16,27
CIFRAS RELATIVAS;Ambos sexos;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;28,36
CIFRAS RELATIVAS;Ambos sexos;De 55 a 64 años;Copas de vino, champagne o cava;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 55 a 64 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;45,67
CIFRAS RELATIVAS;Ambos sexos;De 55 a 64 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;19,20
CIFRAS RELATIVAS;Ambos sexos;De 55 a 64 años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;5,42
CIFRAS RELATIVAS;Ambos sexos;De 55 a 64 años;Copas de vino, champagne o cava;Menos de 1 día al mes;17,91
CIFRAS RELATIVAS;Ambos sexos;De 55 a 64 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;11,79
CIFRAS RELATIVAS;Ambos sexos;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;15,47
CIFRAS RELATIVAS;Ambos sexos;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;21,66
CIFRAS RELATIVAS;Ambos sexos;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;6,01
CIFRAS RELATIVAS;Ambos sexos;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;17,93
CIFRAS RELATIVAS;Ambos sexos;De 55 a 64 años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;38,93
CIFRAS RELATIVAS;Ambos sexos;De 65 a 74 años;Copas de vino, champagne o cava;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 65 a 74 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;56,41
CIFRAS RELATIVAS;Ambos sexos;De 65 a 74 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;12,35
CIFRAS RELATIVAS;Ambos sexos;De 65 a 74 años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;4,07
CIFRAS RELATIVAS;Ambos sexos;De 65 a 74 años;Copas de vino, champagne o cava;Menos de 1 día al mes;18,33
CIFRAS RELATIVAS;Ambos sexos;De 65 a 74 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;8,84
CIFRAS RELATIVAS;Ambos sexos;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;12,53
CIFRAS RELATIVAS;Ambos sexos;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;14,15
CIFRAS RELATIVAS;Ambos sexos;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;4,50
CIFRAS RELATIVAS;Ambos sexos;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;19,29
CIFRAS RELATIVAS;Ambos sexos;De 65 a 74 años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;49,52
CIFRAS RELATIVAS;Ambos sexos;De 75 y más años;Copas de vino, champagne o cava;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 75 y más años;Copas de vino, champagne o cava;Cuatro o más días a la semana;60,23
CIFRAS RELATIVAS;Ambos sexos;De 75 y más años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;11,08
CIFRAS RELATIVAS;Ambos sexos;De 75 y más años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;4,26
CIFRAS RELATIVAS;Ambos sexos;De 75 y más años;Copas de vino, champagne o cava;Menos de 1 día al mes;17,78
CIFRAS RELATIVAS;Ambos sexos;De 75 y más años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;6,64
CIFRAS RELATIVAS;Ambos sexos;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;7,53
